Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug,cos_p_debug,sin_p_debug
147,0.737249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
148,0.742239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
149,0.747258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
150,0.752238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
151,0.757247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
152,0.762241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
153,0.767247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
154,0.772242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
155,0.777256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
156,0.782257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
157,0.787242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
158,0.792250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
159,0.797232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
160,0.802248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
161,0.807242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
162,0.812257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
163,0.817239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
164,0.822255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
165,0.827239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
166,0.832251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
167,0.837236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
168,0.842255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
169,0.847240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
170,0.852258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
171,0.857242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
172,0.862256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
173,0.867238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
174,0.872254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
175,0.877236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
176,0.882252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
177,0.887254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
178,0.892249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
179,0.897234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
180,0.902267,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
181,0.907251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
182,0.912233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
183,0.917256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
184,0.922238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
185,0.927246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
186,0.932238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
187,0.937246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
188,0.942256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
189,0.947254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
190,0.952234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
191,0.957250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
192,0.962232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
193,0.967256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
194,0.972238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
195,0.977258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
