Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug
3742,3.742683,0.512544453,0.505821884,0.487668037,-1.05239868,-0.347442627,1.39984131,-0.408219516
3743,3.743692,0.513339162,0.506190717,0.486660838,-1.13296497,-0.372619599,1.5055846,-0.408257008
3744,3.744676,0.514111757,0.506549299,0.485888243,-1.23367298,-0.397796571,1.61132789,-0.408257008
3745,3.745700,0.514930606,0.506929338,0.485069394,-1.31927478,-0.417938203,1.73721302,-0.408257008
3746,3.746683,0.515692353,0.507282853,0.484307677,-1.38977051,-0.443115205,1.83288574,-0.40818435
3747,3.747691,0.516441226,0.507630408,0.483558774,-1.46530139,-0.468292207,1.93359363,-0.408156216
3748,3.748676,0.517375648,0.508064032,0.482624322,-1.54083252,-0.478363007,2.01919556,-0.408034325
3749,3.749695,0.518094361,0.508397639,0.481905639,-1.62139881,-0.498504579,2.11990333,-0.407898366
3750,3.750692,0.518843174,0.508745134,0.481156796,-1.72210681,-0.503539979,2.21557593,-0.407734275
3751,3.751675,0.519533634,0.509065568,0.480466336,-1.80267334,-0.528717041,2.33139038,-0.40756315
3752,3.752696,0.520224273,0.509386122,0.479775697,-1.87316883,-0.528717041,2.40188599,-0.407349825
3753,3.753681,0.520932853,0.509714961,0.479067147,-1.94869983,-0.538787842,2.48748779,-0.407181025
3754,3.754690,0.521738768,0.51008898,0.478423715,-2.02423096,-0.533752382,2.5579834,-0.406810701
3755,3.755677,0.522395968,0.510394037,0.477604061,-2.10983276,-0.528717041,2.6385498,-0.406520128
3756,3.756699,0.522982359,0.510666132,0.477017641,-2.19543433,-0.51864624,2.71408057,-0.406208456
3757,3.757682,0.523605347,0.510955274,0.476394653,-2.27096558,-0.50857538,2.77954102,-0.406124115
3758,3.758691,0.524191976,0.511227548,0.475808054,-2.34649634,-0.483398378,2.82989478,-0.406145155
3759,3.759795,0.524879336,0.511546552,0.475120664,-2.42202735,-0.448150605,2.87017798,-0.404706091
3760,3.760585,0.525288939,0.511736631,0.474711061,-2.50762939,-0.407867402,2.91549683,-0.403986573
3761,3.761691,0.525988281,0.512061179,0.474011689,-2.5680542,-0.377654999,2.94570923,-0.403138161
3762,3.762676,0.526493013,0.512295485,0.473507017,-2.64358497,-0.317230195,2.94570899,-0.402261615
3763,3.763697,0.526934385,0.512500286,0.473065615,-2.66372657,-0.241699189,2.90542579,-0.401260853
3764,3.764679,0.527418554,0.512724996,0.472581446,-2.69897437,-0.1863098,2.88528419,-0.399910867
3765,3.765693,0.527837753,0.512919545,0.472162217,-2.70904541,-0.115814202,2.82485962,-0.398811638
3766,3.766675,0.5283584,0.513135016,0.471697986,-2.67379737,-0.0151061993,2.68890357,-0.396350712
3767,3.767695,0.52879566,0.513364136,0.47120437,-2.5428772,0.0805664063,2.46231079,-0.393641353
3768,3.768678,0.529165089,0.513535559,0.470834881,-2.25082374,0.166168213,2.16522217,-0.391342133
3769,3.769688,0.52951169,0.513696432,0.47048834,-1.85302722,0.221557602,1.63146961,-0.387149185
3770,3.770710,0.5297876,0.513824463,0.4702124,-1.31423938,0.100708,1.21353137,-0.382543653
3771,3.771684,0.530110657,0.513974428,0.469889373,-0.835876405,-0.206451416,1.04232788,-0.377089709
3772,3.772693,0.530427158,0.514121294,0.46961382,-0.3877258,-0.750274599,1.13800037,-0.370274037
3773,3.773821,0.530647993,0.514223754,0.469351977,-0.0604247972,-1.66168201,1.72210681,-0.36337167
3774,3.774588,0.530840218,0.514312983,0.469159812,0.0201416016,-2.19543433,2.17529273,-0.360191226
3775,3.775698,0.531089187,0.514428556,0.468910843,-0.297088593,-2.76946998,3.0665586,-0.350832641
